session,is_bot,prolific_id,id_in_session,idx,round_number,multiplier,disclose,contribution,rt1,rt2,reward,payoff,total,individual_share,opp_multiplier,opp_disclose,opp_p_disclose,opp_contribution,opp_payoff,total_contribution
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,59,2.5,1,5,2276,1552,19.0,19.0,1072.0,14.0,1.5,0,0.25,10,14.0,27.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,60,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,60,1.5,1,0,4609,7528,22.0,22.0,990.0,12.0,2.5,0,0.75,10,12.0,25.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,60,2.5,0,10,6469,3649,20.0,20.0,1124.0,20.0,1.5,0,0.75,10,20.0,40.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,60,2.5,1,1,1357,2360,23.0,23.0,1095.0,14.0,2.5,0,0.25,10,14.0,27.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,61,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,61,1.5,1,0,4130,5257,10.0,10.0,1000.0,0.0,1.5,0,0.75,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,61,2.5,0,1,5806,4963,10.0,10.0,1134.0,1.0,1.5,0,0.75,0,11.0,2.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,61,2.5,1,5,1148,1508,19.0,19.0,1114.0,14.0,1.5,0,0.25,10,14.0,27.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,62,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,62,1.5,1,0,5226,5210,10.0,10.0,1010.0,0.0,1.5,0,0.75,0,10.0,0.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,62,2.5,0,5,3231,5056,24.0,24.0,1158.0,19.0,2.5,0,0.75,10,19.0,37.5
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,62,2.5,1,9,1125,2420,20.0,20.0,1134.0,19.0,1.5,0,0.25,10,19.0,37.5
jpjzuvf1,1,6164b9e5d7dd59233b570c51,1,0,63,1.5,,-1,-1,-1,-1.0,0.0,0.0,-1.0,-1.0,,-1.0,-1,-1.0,-1.0
jpjzuvf1,0,6155d0cafa46f83b2716f453,2,1,63,1.5,1,0,5079,5725,18.0,18.0,1028.0,8.0,1.5,0,0.75,10,8.0,15.0
jpjzuvf1,0,615ddbb6663eca2e59404f0d,3,2,63,2.5,1,10,5043,4911,25.0,25.0,1183.0,25.0,2.5,0,0.75,10,25.0,50.0
jpjzuvf1,0,5f31671e69023f000b0c0547,4,3,63,2.5,1,10,1472,2284,12.0,12.0,1146.0,12.0,1.5,0,0.25,0,22.0,25.0
